fullname,photo,photofile,year,movie,age,state,state name,globalmap,wikilink,Birth,Death,funinfo
Anna Magnani,1,anna_magnani.jpg,1955,The Rose Tattoo,47,INT,Italy,*IT,http://en.wikipedia.org/wiki/Anna_Magnani,1908,1973,"Magnani was referred to as ""La Lupa,"" the ""perennial toast of Rome"" and a ""living she-wolf symbol"" of the cinema."
Anne Bancroft,1,anne_bancroft.jpg,1962,The Miracle Worker,31,NY,New York,USA,http://en.wikipedia.org/wiki/Anne_Bancroft,1931,2005,Bancroft was a contract player in the early days of her career just as the studio contract system was ending.
Audrey Hepburn,1,audrey_hepburn.jpg,1953,Roman Holiday,24,INT,Belgium,*BE,http://en.wikipedia.org/wiki/Audrey_Hepburn,1929,1993,"Hepburn's image is widely used in advertising campaigns across the world. In Japan, a series of commercials used colourised and digitally enhanced clips of Hepburn in Roman Holiday to advertise Kirin black tea."
Barbra Streisand,1,barbra_streisand.jpg,1968,Funny Girl,26,NY,New York,USA,http://en.wikipedia.org/wiki/Barbra_Streisand,1942,2012,Streisand holds the record for the most top-ten albums of any female recording artist Ð a total of 32 since 1963.
Bette Davis,1,bette_davis.jpg,1935,Dangerous,27,MA,Massachusetts,USA,http://en.wikipedia.org/wiki/Bette_Davis,1908,1989,"Davis was the co-founder of the Hollywood Canteen, and was the first female president of the Academy of Motion Picture Arts and Sciences. "
Bette Davis,1,bette_davis.jpg,1938,Jezebel,30,MA,Massachusetts,USA,http://en.wikipedia.org/wiki/Bette_Davis,1908,1989,"Davis was the co-founder of the Hollywood Canteen, and was the first female president of the Academy of Motion Picture Arts and Sciences. "
Charlize Theron,1,charlize_theron.jpg,2003,Monster,28,INT,South Africa,,http://en.wikipedia.org/wiki/Charlize_Theron,1975,2012,"Theron is involved in women's rights organisations, and has marched in pro-choice rallies."
Cher,1,cher.jpg,1987,Moonstruck,41,CA,California,USA,http://en.wikipedia.org/wiki/Cher,1946,2012,Cher is the only artist to reach #1 on a Billboard chart in each of the past six decades.
Claudette Colbert,1,claudette_colbert.jpg,1934,It Happened One Night,31,INT,France,*FR,http://en.wikipedia.org/wiki/Claudette_Colbert,1903,1996,"Colbert was the highest paid actress in American cinema during late 1930s, and later became a freelance performer."
Diane Keaton,1,diane_keaton.jpg,1977,Annie Hall,31,CA,California,USA,http://en.wikipedia.org/wiki/Diane_Keaton,1946,2012,"Keaton began her career on stage, and made her screen debut in 1970."
Elisabeth Taylor,1,elisabeth_taylor.jpg,1960,Butterfield 8,28,INT,England,*ENG,http://en.wikipedia.org/wiki/Elisabeth_Taylor,1932,2011,"Taylor has been called the ""greatest movie star of all,"" writes biographer William J. Mann."
Elisabeth Taylor,1,elisabeth_taylor.jpg,1966,Who's Afraid of Virginia Woolf?,34,INT,England,*ENG,http://en.wikipedia.org/wiki/Elisabeth_Taylor,1932,2011,"Taylor has been called the ""greatest movie star of all,"" writes biographer William J. Mann."
Ellen Burstyn,1,ellen_burstyn.jpg,1974,Alice DoesnÍt live Here Anymore,42,MI,Michigan,USA,http://en.wikipedia.org/wiki/Ellen_Burstyn,1932,2012,"Burstyn: Until 1970, she was credited as Ellen McRae in nearly all her film and television appearances."
Emma Thompson,1,emma_thompson.jpg,1992,Howards End,33,INT,England,*ENG,http://en.wikipedia.org/wiki/Emma_Thompson,1959,2012,"Thompson is an ambassador for the charity ActionAid and has travelled to Uganda, Mozambique, Ethiopia, Liberia and Burma to raise awareness of its work."
Faye Dunaway,1,faye_dunaway.jpg,1976,Network,35,FL,Florida,USA,http://en.wikipedia.org/wiki/Faye_Dunaway,1941,2012,Dunaway was sued for eviction by the landlord of her rent stabilized apartment on East 78th Street in Manhattan.
Frances McDormand,1,frances_mcdormand.jpg,1996,Fargo,39,IL,Illinois,USA,http://en.wikipedia.org/wiki/Frances_McDormand,1957,2012,"McDormand also participates as a member of the Jury for the NYICFF, a local New York City Film Festival dedicated to screening films for children between the ages of 3 and 18."
Geraldine Page,1,geraldine_page.jpg,1985,Trip to Bountiful,61,MO,Missouri,USA,http://en.wikipedia.org/wiki/Geraldine_Page,1924,1987,"Page starred in at least two dozen feature films, but she was primarily known for her performances in American theater."
Ginger Rogers,1,ginger_rogers.jpg,1940,Kitty Foyle,29,MO,Missouri,USA,http://en.wikipedia.org/wiki/Ginger_Rogers,1911,1995,Rogers was also one of the first women to enlist in the Marine Corps.
Glenda Jackson,1,glenda_jackson.jpg,1970,Women In Love,34,INT,England,*ENG,http://en.wikipedia.org/wiki/Glenda_Jackson,1936,2012,"Jackson has been a Member of Parliament (MP) since 1992, and currently represents Hampstead and Kilburn."
Glenda Jackson,1,glenda_jackson.jpg,1973,A Touch of Class,37,INT,England,*ENG,http://en.wikipedia.org/wiki/Glenda_Jackson,1936,2012,"Jackson has been a Member of Parliament (MP) since 1992, and currently represents Hampstead and Kilburn."
Grace Kelly,1,grace_kelly.jpg,1954,The Country Girl,26,PA,Pennsylvania,USA,http://en.wikipedia.org/wiki/Grace_Kelly,1929,1982,Grace married the Prince of Monaco and became the Princess consort of Monaco.
Greer Garson,1,greer_garson.jpg,1942,Mrs. Miniver,39,INT,United Kingdom,*UK,http://en.wikipedia.org/wiki/Greer_Garson,1904,2012,"Greer Garson's early professional appearances were on stage, starting at Birmingham Repertory Theatre in January 1932."
Gwyneth Paltrow,1,gwyneth_paltrow.jpg,1998,Shakespeare in Love,26,CA,California,USA,http://en.wikipedia.org/wiki/Gwyneth_Paltrow,1972,2012,"Paltrow is a Save the Children artist ambassador, raising awareness about World Pneumonia Day."
Halle Berry,1,halle_berry.jpg,2001,Monster's Ball,35,OH,Ohio,USA,http://en.wikipedia.org/wiki/Halle_Berry,1966,2012,Berry took part in a nearly 2000-house party cell-phone bank campaign for Barack Obama in February 2008.
Helen Hayes,1,helen_hayes.jpg,1932,The Sin of Madelon Claudet,32,DC,Washington D.C.,USA,http://en.wikipedia.org/wiki/Helen_Hayes,1905,1993,"Hayes eventually garnered the nickname ""First Lady of the American Theatre""."
Helen Hunt,1,helen_hunt.jpg,1997,As Good as it Gets,33,CA,California,USA,http://en.wikipedia.org/wiki/Helen_Hunt,1963,2012,"Hunt starred in the sitcom, Mad About You, for seven years before being cast in the 1997 romantic comedy film, As Good as It Gets."
Hilary Swank,1,hilary_swank.jpg,1999,Boys Don't Cry,25,NE,Nebraska,USA,http://en.wikipedia.org/wiki/Hilary_Swank,1974,2012,Swank attracted controversy for attending an event in Chechnya's capital Grozny on the 35th birthday of Chechen president Ramzan Kadyrov on October 5.
Hilary Swank,1,hilary_swank.jpg,2004,Million Dollar Baby,30,NE,Nebraska,USA,http://en.wikipedia.org/wiki/Hilary_Swank,1974,2012,Swank attracted controversy for attending an event in Chechnya's capital Grozny on the 35th birthday of Chechen president Ramzan Kadyrov on October 5.
Holly Hunter,1,holly_hunter.jpg,1993,The Piano,35,GA,Georgia,USA,http://en.wikipedia.org/wiki/Holly_Hunter,1958,2012,"Hunter is deaf in one ear, which sometimes leads to complications at work and some scenes have to be altered from the script for her to use her healthy ear."
Ingrid Bergman,1,ingrid_bergman.jpg,1944,Gaslight,29,INT,Sweden,*SE,http://en.wikipedia.org/wiki/Ingrid_Bergman,1915,2012,"Before becoming a star in American films, she had already been a leading actress in Swedish films."
Ingrid Bergman,1,ingrid_bergman.jpg,1956,Anastasia,41,INT,Sweden,*SE,http://en.wikipedia.org/wiki/Ingrid_Bergman,1915,2012,"Before becoming a star in American films, she had already been a leading actress in Swedish films."
Jane Fonda,1,jane_fonda.jpg,1971,Klute,34,NY,New York,USA,http://en.wikipedia.org/wiki/Jane_Fonda,1937,2012,Fonda has been an activist for many political causes; her opposition to the Vietnam War and associated activities were controversial.
Jane Fonda,1,jane_fonda.jpg,1978,Coming Home,41,NY,New York,USA,http://en.wikipedia.org/wiki/Jane_Fonda,1937,2012,Fonda has been an activist for many political causes; her opposition to the Vietnam War and associated activities were controversial.
Jane Wyman,1,jane_wyman.jpg,1948,Johnny Belinda,34,MO,Missouri,USA,http://en.wikipedia.org/wiki/Jane_Wyman,1917,2012,"Wyman was an American singer, dancer, and character actress of film and television."
Janet Gaynor,1,janet_gaynor.jpg,1928,Sunrise,22,CA,California,USA,http://en.wikipedia.org/wiki/Janet_Gaynor,1906,1984,"Gaynor was not only the first but also, at 22 years old, the youngest actress to win an Academy Award for Best Actress up until 1986."
Jennifer Jones,1,jennifer_jones.jpg,1943,The Song of Bernadette,24,OK,Oklahoma,USA,http://en.wikipedia.org/wiki/Jennifer_Jones,1919,2012,Jones who starred in more than 20 films over a thirty year career.
Jessica Lange,1,jessica_lange.jpg,1994,Blue Sky,45,MN,Minnesota,USA,http://en.wikipedia.org/wiki/Jessica_Lange,1949,2012,"Lange is a photographer with two published works, and is a humanitarian, holding a position as a Goodwill Ambassador for UNICEF, specializing in the HIV/AIDS epidemic in the Congo and Russia."
Jessica Tandy,1,jessica_tandy.jpg,1989,Driving Miss Daisy,81,INT,England,*ENG,http://en.wikipedia.org/wiki/Jessica_Tandy,1909,1994,"Tandy began her career at the age of 18 in London, establishing herself with performances opposite such actors as Laurence Olivier and John Gielgud."
Joan Crawford,1,joan_crawford.jpg,1945,Mildred Pierce,37,TX,Texas,USA,http://en.wikipedia.org/wiki/Joan_Crawford,1905,1977,Crawford is doubtless the best example of the flapper.
Joan Fontaine,1,joan_fontaine.jpg,1941,Suspicion,24,INT,Japan,*JPN,http://en.wikipedia.org/wiki/Joan_Fontaine,1917,2012,Fontaine made her stage debut in the West Coast production of Call It a Day in 1935 and was soon signed to an RKO contract.
Joanne Woodward,1,joanne_woodward.jpg,1957,The Three Faces of Eve,27,CT,Connecticut,USA,http://en.wikipedia.org/wiki/Joanne_Woodward,1930,2012,"Woodward's first film was a post-Civil War Western, Count Three and Pray, in 1955."
Jodie Foster,1,jodie_foster.jpg,1988,The Accused,26,CA,California,USA,http://en.wikipedia.org/wiki/Jodie_Foster,1962,2012,"Foster's films have spanned a wide variety of genres, from family films to horror. In addition to her two Academy Awards, she has won three BAFTA Awards for two films, two Golden Globe Awards, a Screen Actors Guild Award, a People's Choice Award, and has received two Emmy nominations."
Jodie Foster,1,jodie_foster.jpg,1991,The Silence of the Lambs,29,CA,California,USA,http://en.wikipedia.org/wiki/Jodie_Foster,1962,2012,"Foster's films have spanned a wide variety of genres, from family films to horror. In addition to her two Academy Awards, she has won three BAFTA Awards for two films, two Golden Globe Awards, a Screen Actors Guild Award, a People's Choice Award, and has received two Emmy nominations."
Judy Holliday,1,judy_holliday.jpg,1950,Born Yesterday,28,NY,New York,USA,http://en.wikipedia.org/wiki/Judy_Holliday,1921,1965,"Holliday began her career as part of a night-club act, before working in Broadway plays and musicals."
Julia Roberts,1,julia_roberts.jpg,2000,Erin Brockovich,33,GA,Georgia,USA,http://en.wikipedia.org/wiki/Julia_Roberts,1967,2012,Roberts disclosed in a 2010 interview for Elle magazine that she believes in and practices Hinduism.
Julie Andrews,1,julie_andrews.jpg,1964,Mary Poppins,30,INT,England,*ENG,http://en.wikipedia.org/wiki/Julie_Andrews,1935,2012,"Andrews voice, which originally spanned four octaves, was damaged by a throat operation in 1997."
Julie Christie,1,julie_christie.jpg,1965,Darling,24,INT,British India,*GB,http://en.wikipedia.org/wiki/Julie_Christie,1941,2012,"Christie began her acting career in a BBC television series, and the following year, she had her first major film role in a romantic comedy."
Katharine Hepburn,1,katharine_hepburn.jpg,1933,Morning Glory,26,CT,Connecticut,USA,http://en.wikipedia.org/wiki/Katharine_Hepburn,1928,2003,Hepburn is considered an important and influential cultural figure.
Katharine Hepburn,1,katharine_hepburn.jpg,1967,Guess WhoÍs Coming to Dinner,60,CT,Connecticut,USA,http://en.wikipedia.org/wiki/Katharine_Hepburn,1928,2003,Hepburn is considered an important and influential cultural figure.
Katharine Hepburn,1,katharine_hepburn.jpg,1981,On Golden Pond,74,CT,Connecticut,USA,http://en.wikipedia.org/wiki/Katharine_Hepburn,1928,2003,Hepburn is considered an important and influential cultural figure.
Kathy Bates,1,kathy_bates.jpg,1990,Misery,42,TN,Tennessee,USA,http://en.wikipedia.org/wiki/Kathy_Bates,1948,2012,Bates is the Executive Committee Chair of the Actors Branch of the Academy of Motion Picture Arts and Sciences Board of Governors.
Liza Minnelli,1,liza_minnelli.jpg,1972,Cabaret,26,CA,California,USA,http://en.wikipedia.org/wiki/Liza_Minnelli,1946,2012,"Minnelli has, throughout her lifetime, served various charities and causes which she considers very important."
Loretta Young,1,loretta_young.jpg,1947,The Farmer's Daughter,34,UT,Utah,USA,http://en.wikipedia.org/wiki/Loretta_Young,1913,2000,Young started as a child actress and helped to poineer tevelvision series.
Louise Fletcher,1,louise_fletcher.jpg,1975,One Flew Over The CockooÍs Nest,41,AL,Alabama,USA,http://en.wikipedia.org/wiki/Louise_Fletcher,1934,2012,Fletcher was concieved by parents who were both deaf.
Luise Rainer,1,luise_rainer.jpg,1936,The Great Zeigfeld,26,INT,Germany,*DE,http://en.wikipedia.org/wiki/Luise_Rainer,1910,2012,Rainer is the oldest living actress.
Luise Rainer,1,luise_rainer.jpg,1937,The Good Earth,27,INT,Germany,*DE,http://en.wikipedia.org/wiki/Luise_Rainer,1910,2012,Rainer is the oldest living actress.
Maggie Smith,1,maggie_smith.jpg,1969,The Prime of Miss Jean Brodie,35,INT,England,*ENG,http://en.wikipedia.org/wiki/Maggie_Smith,1934,2012,"Smith has had an extensive career both on screen and in live theatre, and is known as one of Britain's pre-eminent actors."
Marie Dressler,1,marie_dressler.jpg,1931,Min and Bill,62,INT,Canada,*CAN,http://en.wikipedia.org/wiki/Marie_Dressler,1868,1934,"Dressler's birth home in Cobourg, Ontario is known as ""Marie Dressler House"" and is open to the public."
Marlee Matlin,1,marlee_matlin.jpeg,1986,Children of a Lesser God,21,IL,Illinois,USA,http://en.wikipedia.org/wiki/Marlee_Matlin,1965,2012,"Matlin is the youngest actress, and the only deaf performer, to win the Academy Award for Best Actress in a Leading Role"
Mary Pickford,1,mary_pickford.jpg,1929,Coquette,37,INT,Canada,,http://en.wikipedia.org/wiki/Mary_Pickford,1892,1979,Pickford helped to shape the Hollywood industry.
Meryl Streep,1,meryl_streep.jpg,1982,Sophie's Choice,33,NJ,New Jersey,USA,http://en.wikipedia.org/wiki/Meryl_Streep,1948,2012,"Streep has received 17 Academy Award nominations, winning three, and 26 Golden Globe nominations, winning eight, more nominations than any other actor in the history of either award."
Nicole Kidman,1,nicole_kidman.jpg,2002,The Hours,35,INT,Australia,,http://en.wikipedia.org/wiki/Nicole_Kidman,1967,2012,"Kidman collaboration with Ewan McGregor on ""Come What May"" peaked at No.27 in the UK Singles Chart."
Norma Shearer,1,norma_shearer.jpg,1930,The Divorcee,30,INT,Canada,*CAN,http://en.wikipedia.org/wiki/Norma_Shearer,1902,1983,Shearer is widely celebrated by some as one of cinema's feminist pioneers
Olivia de Havilland,1,olivia_de_havilland.jpg,1946,To Each His Own,30,INT,Japan,*JPN,http://en.wikipedia.org/wiki/Olivia_de_Havilland,1916,2012,Havilland won the Academy Award for Best Actress in 1946 and 1949.
Olivia de Havilland,1,olivia_de_havilland.jpg,1949,The Heiress,33,INT,Japan,*JPN,http://en.wikipedia.org/wiki/Olivia_de_Havilland,1916,2012,Havilland won the Academy Award for Best Actress in 1946 and 1949.
Patricia Neal,1,patricia_neal.jpg,1963,Hud,37,KY,Kentucky,USA,http://en.wikipedia.org/wiki/Patricia_Neal,1926,2010,"Neal appeared in Another Part of the Forest (1946), winning the 1947 Tony Award for Best Featured Actress in a Play, in the first ever presentation of the Tony awards."
Sally Field,1,sally_field.jpg,1979,Norma Rae,33,CA,California,USA,http://en.wikipedia.org/wiki/Sally_Field,1946,2012,Field and her family survived a crash after their charter plane lost power on takeoff. They all survived with minor injuries.
Sally Field,1,sally_field.jpg,1984,Places in the Heart,38,CA,California,USA,http://en.wikipedia.org/wiki/Sally_Field,1946,2012,Field and her family survived a crash after their charter plane lost power on takeoff. They all survived with minor injuries.
Shirley Booth,1,shirley_booth.jpg,1952,"Com Back, Little Sheba",45,NY,New York,USA,http://en.wikipedia.org/wiki/Shirley_Booth,1898,1992,Booth was the first actress ever to win both a Tony and an Oscar for the same role.
Shirley MacLaine,1,shirley_maclane.jpg,1983,Terms of Endearment,49,VA,Virginia,USA,http://en.wikipedia.org/wiki/Shirley_MacLaine,1934,2012,MacLaine is well known for her beliefs in New Age spirituality and reincarnation.
Simone Signoret,1,simone_signoret.jpg,1959,Room at the Top,38,INT,Germany,*DE,http://en.wikipedia.org/wiki/Simone_Signoret,1921,1985,Signoret was a French cinema actress often hailed as one of France's greatest movie stars.
Sissy Spacek,1,sissy_spacek.jpg,1980,Coal MinerÍs Daughter,30,TX,Texas,USA,http://en.wikipedia.org/wiki/Sissy_Spacek,1949,2012,"SpaceK has been nominated for an Oscar a total of six times, and is also known for her role as Holly Sargis in Terrence Malick's 1973 film Badlands."
Sophia Loren,1,sophia_loren.jpg,1961,Two Women,27,INT,Italy,*IT,http://en.wikipedia.org/wiki/Sophia_Loren,1934,2012,"Loren has won several international awards, including one Golden Globe Award, a Grammy Award, a BAFTA Award and a Laurel Award."
Susan Hayward,1,susan_hayward.jpg,1958,I Want to Live!,39,NY,New York,USA,http://en.wikipedia.org/wiki/Susan_Hayward,1917,1975,"Hayword started as a fashion model in New York, than traveled to Hollywood in 1937 when open auditions were held for the leading role in Gone with the Wind."
Susan Sarandon,1,susan_sarandon.jpg,1995,Dead Man Walking,49,NY,New York,USA,http://en.wikipedia.org/wiki/Susan_Sarandon,1946,2012,Sarandon is also noted for her social and political activism for a variety of liberal causes.
Vivien Leigh,1,vivien_leigh.jpg,1939,Gone With the Wind,26,INT,West Bengal,*GB,http://en.wikipedia.org/wiki/Vivien_Leigh,1913,1967,"Leigh was considered one of the most beautiful actresses of her day, and her directors emphasised this in most of her films."
Vivien Leigh,1,vivien_leigh.jpg,1951,A Streetcar Named Desire,38,INT,West Bengal,*GB,http://en.wikipedia.org/wiki/Vivien_Leigh,1913,1967,"Leigh was considered one of the most beautiful actresses of her day, and her directors emphasised this in most of her films."
