fullname,photo,photofile,party,wikilink,nickname,trivia,inventinos,yearelected,Age1stYear,order
George Washington,1,george_washington_thumb,No Party,http://en.wikipedia.org/wiki/George_Washington,"""Father of His Country""","Called the ""father of his country""",Eli Whitney invents the cotton gin,1789,57,1
John Adams,1,john_adams_thumb,Federalist,http://en.wikipedia.org/wiki/John_Adams,"""Atlas of Independence""",Appointed John Marshall as Chief Justice,"Alessandra Volta invents the battery, 1799",1797,62,2
Thomas Jefferson,1,thomas_jefferson_thumb,Democratic-Republican,http://en.wikipedia.org/wiki/Thomas_Jefferson,"""Man of the People""",Author of the Declaration of Independence,"First successful steamboat in the United States, 1807",1801,58,3
James Madison,1,james_knox_polk_thumb,Democratic-Republican,http://en.wikipedia.org/wiki/James_Madison,"""Father of the Constitution""","Known as the ""Father of the Constitution""","The can opener was invented, 1813",1809,58,4
James Monroe,1,james-monroe_thumb,Democratic-Republican,http://en.wikipedia.org/wiki/James_Monroe,"""The Last Cocked Hat""",Warned the Europeans not to interfere in the Western Hemisphere by writing the Monroe Doctrine,"Professor Michael Faraday invents the first toy balloon, 1824",1817,59,5
John Quincy Adams,1,john_quincy_adams_thumb,Whig,http://en.wikipedia.org/wiki/John_Quincy_Adams,"""Old Man Eloquent""",The first son of a President to become President,"John Walker invents the modern matches, 1827",1825,58,6
Andrew Jackson,1,andrew_-jackson_thumb,Democratic,http://en.wikipedia.org/wiki/Andrew_Jackson,"""Old Hickory""","Nicknamed ""Old Hickory""","American Cyrus H. McCormick invents the first commercially successful reaper, 1831",1829,62,7
Martin Van Buren,1,martin_van-buren_thumb,Democratic,http://en.wikipedia.org/wiki/Martin_Van_Buren,"""The Red Fox of Kinderhook""",The only Presidential candidate to run for office without a running mate,"Samuel Morse invents Morse Code, 1838",1837,55,8
William H. Harrison,1,william_henry_harrison_thumb,Whig,http://en.wikipedia.org/wiki/William_Henry_Harrison,"""Old Tippecanoe""","Ran under the slogan ""Tippecanoe and Tyler Too""",,1841,68,9
John Tyler,1,john_tyler_thumb,Whig,http://en.wikipedia.org/wiki/John_Tyler,"""Accidental President""",First Vice President to become President following the death of a Chief Executive,"First message sent by telegraph, opening a new era in communications, 1844",1841,51,10
James K. Polk,1,james_knox_polk_thumb,Democratic,http://en.wikipedia.org/wiki/James_K._Polk,"""Young Hickory""",The only Speaker of the House to become President,"Dr. William Morton, a Massachusetts dentist, is the first to use anaethesia for a tooth extraction, 1846",1845,50,11
Zachary Taylor,1,zachary_taylor_thumb,Whig,http://en.wikipedia.org/wiki/Zachary_Taylor,"""Old Rough & Ready""","Nicknamed ""Old Rough & Ready""","Safety pin invented and sold for $400, 1833",1849,65,12
Millard Fillmore,1,millard_fillmore_thumb,Whig,http://en.wikipedia.org/wiki/Millard_Fillmore,"""The American Louis Philippe""",Approved the Compromise of 1850,"Gyroscope was invented, 1852",1850,50,13
Franklin Pierce,1,franklin_pierce_thumb,Democratic,http://en.wikipedia.org/wiki/Franklin_Pierce,"""Young Hickory of the Granite Hills""","His wife was called ""The Shadow of the White House""",The potato chip was invented in the summer of 1853 by George Crum.,1853,49,14
James Buchanan,1,james_buchanan_thumb,Democratic,http://en.wikipedia.org/wiki/James_Buchanan,"""Old Buck""",The only bachelor President,First passenger elevator installed in New York City. This allowed the building of skyscrapers! 1857,1857,66,15
Abraham Lincoln,1,abraham_lincoln_thumb,Republican,http://en.wikipedia.org/wiki/Abraham_Lincoln,"""Honest Abe""",Proclaimed the Emancipation Proclamation,"The first practical four-wheeled rollerskate is invented, and sets off a roller craze across the U.S. and Europe",1861,52,16
Andrew Johnson,1,andrew_johnson_thumb,Democratic,http://en.wikipedia.org/wiki/Andrew_Johnson,"""The Tennessee Tailor""",The first President to be impeached,"Typewriter invented, 1868",1865,57,17
Ulysses S. Grant,1,ulysses_s._grant_thumb,Republican,http://en.wikipedia.org/wiki/Ulysses_S._Grant,"""Hero of Appomattox""",Commander of the Union Armies during the Civil War,"Bell invents the telephone, 1876",1869,47,18
Rutherford B. Hayes,1,rutherford_b._hayes_thumb,Republican,http://en.wikipedia.org/wiki/Rutherford_B._Hayes,"""Dark-Horse President""","Hs wife was nicknamed ""Lemonade Lucy""","Dr. Pepper is invented, 1880",1877,55,19
James A. Garfield,1,james_garfield_thumb,Republican,http://en.wikipedia.org/wiki/James_A._Garfield,"""Boatman Jim""",Served as President for only a few months in 1881,,1881,50,20
Chester A. Arthur,1,chester_a._arthur_thumb,Republican,http://en.wikipedia.org/wiki/Chester_A._Arthur,"""Elegant Arthur""","Called the ""Father of the American Navy""","Electric fan invented, 1882",1881,52,21
Grover Cleveland,1,grover_cleveland__thumb,Democratic,http://en.wikipedia.org/wiki/Grover_Cleveland,"""His Obstinacy""",The only President to serve two non-consecutive terms,"Coca-Cola invented in Atlanta, Georgia, 1886",1885,46,22
Benjamin Harrison,1,benjamin_harrison_thumb,Republican,http://en.wikipedia.org/wiki/Benjamin_Harrison,"""Little Ben""",The only President whose grandfather was also a President,"Mr. Naismith invents the game of basketball, 1891",1889,56,23
Grover Cleveland,1,grover_cleveland__thumb,Democratic,http://en.wikipedia.org/wiki/Grover_Cleveland,"""His Obstinacy""",The only President to serve two non-consecutive terms,"First successful automobile built in the United States, 1894",1893,54,24
William McKinley,1,william_mckinley_thumb,Republican,http://en.wikipedia.org/wiki/William_McKinley,"""Idol of Ohio""","Waged a ""Front Porch"" campaign","Benjamin Holt invents the first tractor, 1900",1897,54,25
Theodore Roosevelt,1,theodore-_roosevelt_thumb,Republican,http://en.wikipedia.org/wiki/Theodore_Roosevelt,"""Teddy""","Famous for saying ""Speak softly and carry a big stick.""","Wright Brothers make first successful airplane flight, 1903",1901,43,26
William H. Taft,1,william_howard_taft_thumb,Republican,http://en.wikipedia.org/wiki/William_Howard_Taft,"""Big Chief""",The only President also to serve as Chief Justice,"Panama Canal Opens, 1910",1909,52,27
Woodrow Wilson,1,woodrow_wilson_thumb,Democratic,http://en.wikipedia.org/wiki/Woodrow_Wilson,"""Schoolmaster in Politics""",Author of the Fourteen Points,"First regular airline service starts, 1914",1913,57,28
Warren G. Harding,1,warren_g._harding_thumb,Republican,http://en.wikipedia.org/wiki/Warren_G._Harding,I did not earn a nickname.,"His friends were known as the ""Ohio Gang""","First 3-D movie is released, 1922",1921,56,29
Calvin Coolidge,1,calvin_coolidge_thumb,Republican,http://en.wikipedia.org/wiki/Calvin_Coolidge,"""Silent Cal""","Famous for saying ""I do not choose to run for President""","First talking movie, 1927",1923,51,30
Herbert Hoover,1,herbert_clark_hoover_thumb,Republican,http://en.wikipedia.org/wiki/Herbert_Hoover,"""The Great Engineer""","Famous for saying ""Two chickens in every pot and a car in every garage""","First jukeboxes marketed in the United States, 1930",1929,55,31
Franklin D. Roosevelt,1,franklin_d._roosevelt_thumb,Democratic,http://en.wikipedia.org/wiki/Franklin_D._Roosevelt,"""FDR""",Was elected President for four terms,"First regular TV broadcast in the United States, 1936",1933,51,32
Harry Truman,1,harry_s._truman_thumb,Democratic,http://en.wikipedia.org/wiki/Harry_S._Truman,"""Give 'Em Hell Harry""",Made the decision to use the atomic bomb to end World War II,"The Frisbee was invented, 1948",1945,61,33
Dwight D. Eisenhower,1,dwight_d._eisenhower_thumb,Republican,http://en.wikipedia.org/wiki/Dwight_D._Eisenhower,"""Ike""",Supreme Commander of the Allied Forces during World War II,"First U.S. satellite launched from Cape Canaveral, 1958",1953,63,34
John F. Kennedy,1,j_f_k_thumb,Democratic,http://en.wikipedia.org/wiki/John_F._Kennedy,"""JFK""",Founded the Peace Corps,"First U.S. astronaut, John Glenn, orbits the earth, 1962",1961,44,35
Lyndon B. Johnson,1,lyndon_b._johnson_thumb,Democratic,http://en.wikipedia.org/wiki/Lyndon_B._Johnson,"""LBJ""","Declared a ""war on poverty""","Astroturf is invented, 1965",1963,55,36
Richard M. Nixon,1,richard_nixon_thumb,Republican,http://en.wikipedia.org/wiki/Richard_Nixon,"""Tricky Dick""",Opened the door to the People's Republic of China,"The Internet was originally set up by the Department of Defense, 1973",1969,56,37
